Name,Birthday,Died,Father,Mother,Brother,Sister
John Winston Lennon,10/9/1940,12/8/1980,Alfred Lennon,Julia Stanley,null,null
James Paul McCartney,6/18/1942,null,Jim McCartney,Mary McCartney,Mike McGear,null
Ringo Starr,7/7/1940,null,Richard Starkey,Elsie Gleave,null,Marie Maguire
George Harrison,2/25/1943,11/29/2001,Harold Harrison,Louise French,Peter Harrison,Louise Harrison
